iterations,0,1,2,3,4,5,6,7,8,9,10
6052,0.396423209,0.434388487,0.162885457,0.466900851,0.528535457,0.37977785,0.991814829,0.982981643,0.997408219,1.029294923,0.242112297
6053,0.396442936,0.434180947,0.164974975,0.467923796,0.526021598,0.384391358,0.989514014,0.977567127,1.000622964,1.02826158,0.242245006
6054,0.396345087,0.434447442,0.162441654,0.471271407,0.527608548,0.384630154,0.986743357,0.983311632,1.001249784,1.023759828,0.24269546
6055,0.396345087,0.434447442,0.162441654,0.471271407,0.527608548,0.384630154,0.986743357,0.983311632,1.001249784,1.023759828,0.24269546
6056,0.39641619,0.435134652,0.160242797,0.470602002,0.529246824,0.378440659,0.984305598,0.981751662,0.997822143,1.025100044,0.241279217
6057,0.39641619,0.435134652,0.160242797,0.470602002,0.529246824,0.378440659,0.984305598,0.981751662,0.997822143,1.025100044,0.241279217
6058,0.395744378,0.435628407,0.161618504,0.472753626,0.53304876,0.381043436,0.986509077,0.981711877,1.00048967,1.024837915,0.242690223
6059,0.395757383,0.435292529,0.165990386,0.476346545,0.534507873,0.383083451,0.991002732,0.982583773,0.999497911,1.026085865,0.243511885
6060,0.395487157,0.434854434,0.166009317,0.477046437,0.537105538,0.383490599,0.988408966,0.977621801,0.995208645,1.02264136,0.246506792
6061,0.394486612,0.434309848,0.166914194,0.480364985,0.53296083,0.383353759,0.989676541,0.976936917,0.998468168,1.018294335,0.248831691
6062,0.394110548,0.435259469,0.161482695,0.482629754,0.535038976,0.381635342,0.989053021,0.981365142,0.997192174,1.020380694,0.250948587
6063,0.394110548,0.435259469,0.161482695,0.482629754,0.535038976,0.381635342,0.989053021,0.981365142,0.997192174,1.020380694,0.250948587
6064,0.394374302,0.436660974,0.165893467,0.479006902,0.533919656,0.38497141,0.989700412,0.977779387,0.995390412,1.018018209,0.250100114
6065,0.395447718,0.437066811,0.164174739,0.484738663,0.533529893,0.387142574,0.987825429,0.98304278,0.999128535,1.020349987,0.246076148
6066,0.394976823,0.436954309,0.160181194,0.48231845,0.531694179,0.387439047,0.994235269,0.980851365,1.001735541,1.017440057,0.243271889
6067,0.394976823,0.436954309,0.160181194,0.48231845,0.531694179,0.387439047,0.994235269,0.980851365,1.001735541,1.017440057,0.243271889
6068,0.396085754,0.436241193,0.161199726,0.488366985,0.528972906,0.384095519,0.994917858,0.98307696,1.004910862,1.011785693,0.241779069
6069,0.396085754,0.436241193,0.161199726,0.488366985,0.528972906,0.384095519,0.994917858,0.98307696,1.004910862,1.011785693,0.241779069
6070,0.3967206,0.43621703,0.162939258,0.492437629,0.530744168,0.378556696,0.99338439,0.986058146,1.004931364,1.007467207,0.241901914
6071,0.3967206,0.43621703,0.162939258,0.492437629,0.530744168,0.378556696,0.99338439,0.986058146,1.004931364,1.007467207,0.241901914
6072,0.3967206,0.43621703,0.162939258,0.492437629,0.530744168,0.378556696,0.99338439,0.986058146,1.004931364,1.007467207,0.241901914
6073,0.3967206,0.43621703,0.162939258,0.492437629,0.530744168,0.378556696,0.99338439,0.986058146,1.004931364,1.007467207,0.241901914
6074,0.396613587,0.435776129,0.162730311,0.496452696,0.529490828,0.376563458,0.990577499,0.983626653,1.00495901,1.011018383,0.24055729
6075,0.397210127,0.435473662,0.16682331,0.496899112,0.531233383,0.372643241,0.9876181,0.982856759,1.002986724,1.00895233,0.244051953
6076,0.397853143,0.434559069,0.169492848,0.492409539,0.530209211,0.371286199,0.988960773,0.983049912,1.002971578,1.004138838,0.239007027
6077,0.397853143,0.434559069,0.169492848,0.492409539,0.530209211,0.371286199,0.988960773,0.983049912,1.002971578,1.004138838,0.239007027
6078,0.398584007,0.435452313,0.167481272,0.490749639,0.526002452,0.373779032,0.987982698,0.979906099,1.005775241,1.005195124,0.239949261
6079,0.398584007,0.435452313,0.167481272,0.490749639,0.526002452,0.373779032,0.987982698,0.979906099,1.005775241,1.005195124,0.239949261
6080,0.398490416,0.436739123,0.167520975,0.491673253,0.520849279,0.372633593,0.992398955,0.981340761,1.009913136,1.005413497,0.241030027
6081,0.398490416,0.436739123,0.167520975,0.491673253,0.520849279,0.372633593,0.992398955,0.981340761,1.009913136,1.005413497,0.241030027
